,,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,Latency After Decode,Bid,Ask,,1.0949987434,1.266
1396636159.518,31.747,1.36976,1.36989,143.281,1.36976,1.36989,,4.513213847,111.534
1396636159.615,12.048,1.36976,1.36988,48.657,1.36976,1.36988,,4.0385956175,36.609
1396636159.805,12.54,1.36976,1.36989,12.665,1.36976,1.36989,,1.0099681021,0.125
1396636160.119,11.906,1.36976,1.36988,12.423,1.36976,1.36988,,1.043423484,0.517
1396636162.012,20.233,1.36979,1.36988,19.128,1.36979,1.36988,,0.9453862502,-1.105
1396636163.421,15.538,1.36979,1.36989,16.962,1.36979,1.36989,,1.0916462865,1.424
1396636165.115,30.362,1.36977,1.3699,13.725,1.36978,1.36989,,0.4520453198,-16.637
1396636165.115,30.362,1.36977,1.3699,13.725,1.36978,1.36989,112.075,0.4520453198,-16.637
1396636165.214,11.866,1.36976,1.36988,114.183,1.36976,1.36988,,9.6227035227,102.317
1396636165.412,12.985,1.36979,1.3699,16.757,1.36979,1.3699,,1.2904890258,3.772
1396636175.381,13.838,1.36979,1.3699,14.797,1.36979,1.3699,,1.0693019222,0.959
1396636194.007,12.696,1.36979,1.36991,13.342,1.36979,1.36991,,1.0508821676,0.646
1396636210.056,11.792,1.36979,1.36991,12.936,1.36979,1.36991,,1.0970149254,1.144
1396636212.189,11.85,1.36982,1.36992,28.238,1.36982,1.36992,,2.3829535865,16.388
1396636216.473,14.054,1.36981,1.36993,15.141,1.36981,1.36993,,1.0773445282,1.087
1396636216.715,12.93,1.36979,1.36991,13.28,1.36979,1.36991,,1.0270688322,0.35
1396636216.722,21.809,1.36977,1.36989,106.966,1.36977,1.36989,,4.904672383,85.157
1396636219.635,12.197,1.36976,1.36987,13.003,1.36976,1.36987,,1.0660818234,0.806
1396636220.52,12.072,1.36976,1.36988,12.022,1.36976,1.36988,,0.9958581842,-0.05
1396636220.82,12.243,1.36978,1.36988,13.161,1.36978,1.36988,,1.0749816222,0.918
1396636221.952,12.425,1.36978,1.36989,12.656,1.36978,1.36989,,1.0185915493,0.231
1396636222.784,11.163,1.36979,1.36988,12.617,1.36979,1.36988,,1.1302517244,1.454
1396636225.614,11.634,1.3698,1.36991,12.525,1.3698,1.36991,,1.076585869,0.891
1396636225.62,22.055,1.3698,1.36992,106.73,1.3698,1.36992,,4.8392654727,84.675
