Compact Stream Performance Test,,,,,,,,
Timestamp on Tick,Latency After Decode,Bid,Ask,,Timestamp on Tick,Latency After Decode,Bid,Ask
1396636216.473,14.054,1.36981,1.36993,,1396636165.115,112.075,1.36977,1.3699
1396636216.715,12.93,1.36979,1.36991,,1396636165.214,114.183,1.36976,1.36988
1396636216.722,21.809,1.36977,1.36989,,1396636165.412,16.757,1.36979,1.3699
1396636219.635,12.197,1.36976,1.36987,,1396636175.381,14.797,1.36979,1.3699
1396636220.52,12.072,1.36976,1.36988,,1396636194.007,13.342,1.36979,1.36991
1396636220.82,12.243,1.36978,1.36988,,1396636210.056,12.936,1.36979,1.36991
1396636221.952,12.425,1.36978,1.36989,,1396636212.189,28.238,1.36982,1.36992
1396636222.784,11.163,1.36979,1.36988,,1396636216.473,15.141,1.36981,1.36993
1396636225.614,11.634,1.3698,1.36991,,1396636216.715,13.28,1.36979,1.36991
1396636225.62,22.055,1.3698,1.36992,,1396636216.722,106.966,1.36977,1.36989
1396636225.812,11.539,1.36981,1.36992,,1396636219.635,13.003,1.36976,1.36987
1396636227.515,17.098,1.36978,1.3699,,1396636220.52,12.022,1.36976,1.36988
1396636227.613,13.784,1.36976,1.36987,,1396636220.82,13.161,1.36978,1.36988
1396636230.322,15.282,1.36978,1.36989,,1396636221.952,12.656,1.36978,1.36989
1396636230.411,12.303,1.36978,1.36988,,1396636222.784,12.617,1.36979,1.36988
1396636233.722,14.309,1.36979,1.36988,,1396636225.614,12.525,1.3698,1.36991
1396636239.558,15.509,1.36979,1.36989,,1396636225.62,106.73,1.3698,1.36992
1396636239.808,11.922,1.36981,1.36991,,1396636225.812,16.014,1.36981,1.36992
1396636239.811,25.701,1.3698,1.36991,,1396636227.515,18.667,1.36978,1.3699
1396636239.853,11.986,1.36982,1.36993,,1396636227.613,15.878,1.36976,1.36987
1396636244.527,14.485,1.36981,1.36993,,1396636230.322,12.538,1.36978,1.36989
1396636247.516,12.486,1.36979,1.36991,,1396636230.411,24.291,1.36978,1.36988
1396636247.523,20.641,1.36978,1.36991,,1396636233.722,12.884,1.36979,1.36988
1396636247.547,12.675,1.36979,1.36991,,1396636239.558,101.63,1.36979,1.36989
1396636248.056,13.094,1.36979,1.3699,,1396636239.808,13.495,1.36981,1.36991
1396636248.062,24.523,1.36978,1.3699,,1396636239.811,110.348,1.3698,1.36991
1396636248.353,13.728,1.36979,1.3699,,1396636239.853,70.865,1.36982,1.36993
1396636248.513,12.353,1.36977,1.36987,,1396636244.527,16.14,1.36981,1.36993
1396636248.525,15.825,1.36978,1.36989,,1396636247.516,13.708,1.36979,1.36991
1396636259.832,15.481,1.36977,1.36989,,1396636247.523,105.927,1.36978,1.36991
1396636260.054,12.052,1.36976,1.36986,,1396636247.547,83.702,1.36979,1.36991
1396636260.112,12.994,1.36975,1.36987,,1396636248.056,13.718,1.36979,1.3699
1396636261.016,12.033,1.36973,1.36985,,1396636248.062,107.499,1.36978,1.3699
1396636299.069,17.114,1.36977,1.36986,,1396636248.353,15.098,1.36979,1.3699
1396636299.072,243.643,1.36976,1.36987,,1396636248.513,14.476,1.36977,1.36987
1396636304.821,11.419,1.36978,1.3699,,1396636248.522,104.201,1.36979,1.36989
1396636305.911,13.258,1.36977,1.36987,,1396636248.525,102.636,1.36978,1.36989
1396636345.811,12.087,1.36978,1.36986,,1396636259.832,16.955,1.36977,1.36989
1396636347.212,12.886,1.36977,1.36987,,1396636260.054,12.86,1.36976,1.36986
1396636352.111,18.912,1.36977,1.36988,,1396636260.112,54.821,1.36975,1.36987
1396636354.623,11.28,1.36975,1.36986,,1396636261.016,13.209,1.36973,1.36985
1396636359.016,12.093,1.36977,1.36987,,1396636299.069,18.639,1.36977,1.36986
1396636359.029,15.921,1.36979,1.36989,,1396636299.072,109.53,1.36976,1.36987
